filename,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
blues.00000.wav,0.33555517,0.09099669,0.1301892,0.0035588082,1773.358004144261,169450.82970655218,1972.3342580282888,117272.64057271283,3714.063439002404,1083179.4503505765,0.08185096153846154,0.0005576872402394312,-4.71986e-05,0.0083880965,-41.350735,210.694,129.19921875,-119.01804,2494.4453,125.08036,262.11307,-23.394333,365.3941,41.32173,181.91302,-5.9318967,152.47519,20.09275,75.37393,-16.031523,40.067993,17.811024,84.84377,-14.643774,83.337166,10.218312,96.06253,-9.701552,66.59519,10.16898,45.256905,-4.672668,34.240208,8.364334,47.449917,-7.225304,42.87387,-2.881668,39.547073,-3.230046,36.606857,0.6963852,37.766136,-5.035945,33.66855,-0.23958494,43.818882,blues
blues.00000.wav,0.3435232,0.08678229,0.11211886,0.0014911708,1817.2440336954328,90766.29751402666,2010.7514935628776,65940.66603664072,3870.510441706731,672133.2304225165,0.08717322716346154,0.0010296204950682513,-9.784313e-05,0.0049366155,-37.35881,208.11362,123.046875,-125.97715,2046.7885,122.3742,218.45811,-20.679749,233.20865,50.035046,143.88159,-11.2506895,139.74893,21.386393,77.41044,-15.864703,97.38193,19.41863,57.82803,-12.440535,67.973785,17.862537,56.005405,-11.664177,54.532566,8.1322155,40.8407,-7.7003174,30.516224,8.368317,49.092857,-8.258325,68.93538,4.050664,64.819786,-6.025472,40.548805,0.12713084,51.048943,-2.8089564,97.2215,5.771881,60.360348,blues
blues.00000.wav,0.3477464,0.09249452,0.13089524,0.004552019,1790.7223576695696,110071.20676168258,2088.184749958742,73391.4980883465,4000.206580528846,785950.1698214626,0.07138296274038461,0.00042528407813529294,-7.261772e-06,0.012530634,-43.822044,199.918,123.046875,-132.61815,3794.8044,114.81552,246.77925,-14.718566,192.9656,50.017944,153.58598,-0.4248756,122.80047,24.517353,71.26269,-13.401935,91.99063,15.444253,54.70443,-13.00678,119.18761,10.309506,37.26585,-7.8412514,46.253593,11.811645,36.78601,-4.554718,44.01485,6.4465857,27.858702,-2.3516736,50.247852,4.7307506,68.30679,-1.7144741,28.136944,2.329552,47.211426,-1.92562,52.92243,2.466996,33.163998,blues
blues.00000.wav,0.36386254,0.087207384,0.13134935,0.002338318,1660.5452307626717,109496.93630924265,1967.9205817649454,79805.90150055249,3579.149639423077,903274.798466045,0.06942608173076924,0.00030399390226285136,-3.5508976e-05,0.008459464,-38.481796,217.83632,123.046875,-118.325325,2505.851,131.58717,323.43292,-18.493637,109.73642,39.478863,195.06105,-12.992122,140.52765,20.173027,135.64857,-14.325366,71.18008,18.541624,77.862915,-13.470632,71.2252,12.837085,42.625256,-12.472594,60.61438,10.225342,40.388004,-4.3053913,62.68712,8.940403,35.597633,-9.834754,45.511112,-1.4543095,48.543194,-3.786986,28.419542,1.1533154,35.6827,-3.501979,50.610344,3.5806363,32.32588,blues
blues.00000.wav,0.3354805,0.08848194,0.14237021,0.0017342354,1634.4650759291028,77425.41915552298,1954.6335660386983,57359.69559726665,3480.096905048077,588923.0176901676,0.07010216346153846,0.00028845324318789873,-1.5463609e-05,0.009666052,-37.55671,221.03397,123.046875,-106.182106,2124.5706,134.27596,209.58647,-19.761965,173.80823,39.9205,111.32418,-14.074066,99.91732,18.501814,87.095085,-15.40016,48.54473,19.148363,54.503254,-17.971155,98.287094,14.170512,59.8022,-5.7721343,52.876156,16.828094,48.601883,-5.638571,45.379253,5.694385,24.812458,-7.958975,40.467937,2.0537443,30.829538,0.6357976,44.645554,1.591107,51.415863,-3.364908,26.421085,0.5015043,29.10953,blues
blues.00000.wav,0.37428713,0.08897175,0.13146591,0.003509965,1996.0176506059315,211115.47935212706,2154.3785169412786,73011.51514358049,4373.973294771635,1062707.8650851573,0.09242037259615385,0.0011742739141340087,2.0795615e-05,0.008252978,-43.169262,171.04636,129.19921875,-101.128334,1893.2914,111.414185,421.8123,-13.551289,90.72772,47.09595,107.607376,-12.244085,113.52141,19.657393,134.47182,-13.511521,46.567413,15.266535,62.369705,-12.353835,47.127323,12.266332,55.13844,-10.326734,41.676544,9.364186,30.710806,-3.4029253,38.89046,6.6294255,30.696003,-6.984812,21.469425,2.0912728,30.950647,-3.461423,34.216366,-0.45012394,39.93488,-3.6436963,32.521866,3.015992,28.928493,blues
blues.00000.wav,0.3809558,0.08884543,0.12951674,0.0031744952,1962.1393851867554,177314.01439964675,2146.576085202483,97964.9481408068,4324.778207632212,1172169.4609388446,0.0895733173076923,0.001086638749703853,-4.8947568e-05,0.006998291,-38.56101,193.97179,123.046875,-102.14361,3035.245,117.07518,319.20398,-20.8095,241.81694,42.741814,154.86328,-9.854761,123.99647,22.878763,48.005993,-16.27334,63.55299,18.460712,61.066956,-16.078514,80.4413,15.2745695,39.312557,-10.369644,80.70277,11.5181,45.847343,-7.951738,41.491188,7.3770285,48.161037,-5.7073145,27.755869,4.819421,34.26461,-2.1043992,25.305706,1.4163414,46.991245,-3.2122111,38.57928,3.3675208,25.767036,blues
blues.00000.wav,0.33267486,0.09196795,0.1397066,0.0025699069,1703.3712331138165,35322.10641775912,1984.0458950313682,34066.0574398124,3627.4337064302886,313703.76216480014,0.07093599759615385,0.0002305104746621036,-4.314521e-05,0.009638423,-40.30877,204.34673,123.046875,-109.28777,1988.3805,127.4741,98.99722,-19.941677,227.22469,38.592445,117.63982,-12.507809,194.74895,17.56384,98.36507,-16.272398,68.62031,16.533377,105.9535,-17.296988,81.22929,11.553486,44.089146,-9.0566435,50.751442,11.477715,52.605034,-4.2354054,38.702873,7.414589,33.454712,-4.9288564,46.646973,3.1510127,38.173573,-3.557689,23.97408,-0.10622899,26.752272,-1.9582878,22.976871,0.24711539,41.848137,blues
blues.00000.wav,0.34845924,0.09407763,0.13226987,0.0025219996,1749.640820778112,137100.5484781498,1894.017385511205,116199.36603588676,3592.5664813701924,1054712.8004313929,0.08766902043269231,0.0008216238445078833,-4.500524e-05,0.007596314,-38.216583,218.38083,123.046875,-113.394844,1948.1992,128.62973,325.4582,-30.970688,341.7033,42.671093,118.10312,-5.6582646,181.81926,19.641369,94.36197,-18.127089,65.963005,17.9268,94.33654,-12.894988,65.721016,13.527609,87.573784,-10.30708,53.851105,8.070279,34.7805,-7.081854,37.32997,5.843057,48.170536,-9.761064,60.29642,-0.36774245,43.697994,-4.256653,29.800327,2.0836146,34.01703,-2.1844566,80.908485,3.7024767,97.84251,blues
blues.00000.wav,0.35989106,0.08323151,0.11440618,0.0018445537,1767.4908015454273,61144.37839933252,1879.7824963221415,53327.38420531955,3512.810809795673,446270.8860066163,0.10177659254807692,0.0007128825695557002,-0.00011167348,0.0061777597,-36.182243,228.38834,123.046875,-125.59409,3034.5034,126.387215,184.08002,-32.067448,162.55896,53.246815,67.062904,-1.4587224,132.79654,23.307331,62.14707,-19.76749,41.090736,15.20859,49.57137,-13.45326,44.644936,11.209063,84.3657,-14.913754,61.599083,9.176039,69.17396,-4.4395356,27.559097,9.617393,42.63858,-4.2770104,50.276382,6.5811553,44.138424,-3.329914,48.998123,0.09483056,41.979404,-7.5869637,96.84192,0.7722196,40.325222,blues
